Resumen de canciones
==================================================================================================================================
Tema                                    Autor                         Duracion            Danceability        Generos             
Whenever_Wherever                       Shakira                       3.27                79.40               pop-latin           
The_Middle                              Jimmy_Eat_World               2.76                64.30               rock-pop            
Drops_of_Jupiter                        Train                         4.33                48.10               pop                 
It's_Raining_Men                        Geri_Halliwell                4.24                63.70               pop                 
Hit_'Em_Up_Style                        Blu_Cantrell                  4.18                66.70               pop-R&B             
I'm_a_Slave_4_U                         Britney_Spears                3.39                84.70               pop                 
In_Your_Eyes                            Kylie_Minogue                 3.30                68.90               pop-Dance/Electronic
One_Minute_Man                          Missy_Elliott                 4.22                62.20               hiphop-pop-R&B      
Family_Affair                           Mary_J._Blige                 4.43                91.10               pop-R&B             
We_Come_1                               Faithless                     3.71                64.50               pop-Dance/Electronic
Rollin'                                 Limp_Bizkit                   3.56                60.30               metal               
Something                               Lasgo                         3.68                64.30               pop                 
Rapture                                 iio                           4.23                66.10               Dance/Electronic    
What_Took_You_So_Long?                  Emma_Bunton                   4.02                66.80               pop                 
It's_Over_Now                           112                           4.42                66.00               hiphop-pop-R&B      
All_Rise                                Blue                          3.73                72.10               pop                 
Irresistible                            Jessica_Simpson               3.23                65.70               pop-R&B             
Butterfly                               Crazy_Town                    3.61                73.60               rock-metal          
You_Rock_My_World                       Michael_Jackson               5.63                85.40               pop-R&B             
Let_Me_Blow_Ya_Mind                     Eve                           3.84                90.80               hiphop-pop-R&B      
Ain't_It_Funny                          Jennifer_Lopez                4.10                70.70               hiphop-pop-R&B      
Another_Day_in_Paradise                 Brandy                        4.53                70.00               hiphop-pop-R&B      
How_You_Remind_Me                       Nickelback                    3.73                44.60               rock-metal          
One_More_Time                           Daft_Punk                     5.34                61.30               hiphop-Dance/Electronic
Ms._Jackson                             Outkast                       4.51                84.30               hiphop-pop          
Everytime_You_Need_Me                   Fragma                        3.56                68.20               pop-Dance/Electronic
Loverboy                                Mariah_Carey                  3.82                72.10               pop-R&B             
Thank_You                               Dido                          3.64                72.50               pop                 
Stutter                                 Joe                           3.55                76.70               pop-R&B             
Youth_of_the_Nation                     P.O.D.                        4.27                56.30               rock-metal          
Play                                    Jennifer_Lopez                3.52                77.50               hiphop-pop-R&B      
Get_Ur_Freak_On                         Missy_Elliott                 3.52                79.70               hiphop-pop-R&B      
Nobody_Wants_to_Be_Lonely               Ricky_Martin                  4.21                63.50               pop-latin           
AM_To_PM                                Christina_Milian              3.85                87.20               hiphop-pop-R&B      
Another_Chance                          Roger_Sanchez                 7.55                61.00               Dance/Electronic    
Clint_Eastwood                          Gorillaz                      5.68                66.30               hiphop              
Until_The_End_Of_Time                   2Pac                          4.44                75.70               hiphop              
Stranger_in_My_House                    Tamia                         4.76                67.60               pop-R&B             
No_More_Drama                           Mary_J._Blige                 5.44                65.30               pop-R&B             
Love_Don't_Cost_a_Thing                 Jennifer_Lopez                3.69                78.60               hiphop-pop-R&B      
Little_L                                Jamiroquai                    4.92                87.80               pop                 
Missing_You                             Case                          4.74                61.20               hiphop-pop-R&B      
Peaches_&_Cream                         112                           3.22                67.70               hiphop-pop-R&B      
Let's_Dance                             Five                          3.64                63.10               pop                 
Touch_Me                                Rui_Da_Silva                  3.55                46.40               Dance/Electronic    
Smooth_Criminal                         Alien_Ant_Farm                3.49                65.30               rock-metal          
Music                                   Erick_Sermon                  3.72                89.70               hiphop-pop          
Purple_Pills                            D12                           5.08                78.00               hiphop-pop-rock     
Pop_Ya_Collar                           Usher                         3.51                88.80               hiphop-pop-R&B      
Don't_Tell_Me                           Madonna                       4.68                69.90               pop                 
If_You_Come_Back                        Blue                          3.46                58.20               pop                 
Eternal_Flame                           Atomic_Kitten                 3.26                57.80               pop                 
Where_the_Party_At                      Jagged_Edge                   3.88                59.60               hiphop-pop-R&B      
Because_I_Got_High                      Afroman                       3.30                80.20               hiphop              
Don't_Stop_Movin'                       S_Club_7                      3.89                82.20               pop                 
Fill_Me_In                              Craig_David                   4.29                68.20               hiphop-pop-R&B      
Turn_Off_The_Light                      Nelly_Furtado                 4.60                58.70               hiphop-pop-latin    
Starlight                               The_Supermen_Lovers           3.91                73.90               Dance/Electronic    
All_I_Want                              Mis                           3.46                79.50               pop-Dance/Electronic
Promise                                 Jagged_Edge                   4.11                75.10               hiphop-pop-R&B      
Have_You_Ever                           S_Club_7                      3.36                58.50               pop                 
Only_Time                               Enya                          3.64                41.80               World/Traditional-Folk/Acoustic
There_You'll_Be                         Faith_Hill                    3.70                32.10               pop-country         
Lovin'_Each_Day                         Ronan_Keating                 3.55                54.10               pop-rock            
Bootylicious                            Destiny's_Child               3.47                84.00               pop-R&B             
It's_the_Way_You_Make_Me_Feel           Steps                         3.29                57.30               pop-Dance/Electronic
Heard_It_All_Before                     Sunshine_Anderson             4.93                69.70               pop-R&B             
Again                                   Lenny_Kravitz                 3.86                55.00               rock-pop            
Gotta_Get_Thru_This                     Daniel_Bedingfield            2.71                83.60               pop                 
Point_Of_View                           DB_Boulevard                  3.85                67.60               Dance/Electronic    
All_For_You                             Janet_Jackson                 5.50                75.30               pop-R&B             
Whole_Again                             Atomic_Kitten                 3.08                74.70               pop                 
Livin'_It_Up                            Ja_Rule                       4.28                87.40               hiphop-pop-R&B      
Independent_Women                       Destiny's_Child               3.69                73.00               pop-R&B             
Do_You_Really_Like_It?                  DJ_Pied_Piper                 3.62                84.70               Dance/Electronic    
I'm_Real                                Jennifer_Lopez                4.37                70.80               hiphop-pop-R&B      
Love                                    Musiq_Soulchild               5.08                56.90               pop-R&B             
21_Seconds                              So_Solid_Crew                 5.05                60.70               Dance/Electronic    
Eternity                                Robbie_Williams               5.05                46.90               pop-rock            
Romeo                                   Basement_Jaxx                 3.62                71.30               pop-Dance/Electronic
Southern_Hospitality                    Ludacris                      5.02                62.30               hiphop-pop          
Rise                                    Gabrielle                     3.65                55.80               pop-R&B             
Ride_Wit_Me                             Nelly                         4.86                85.00               hiphop-pop-R&B      
I'm_a_Thug                              Trick_Daddy                   4.24                93.30               hiphop-pop          
Sing                                    Travis                        3.81                33.00               rock-pop            
Izzo                                    JAY                           4.01                61.80               hiphop              
Out_Of_Reach                            Gabrielle                     3.28                51.00               pop-R&B             
Heaven_Is_a_Halfpipe                    OPM                           4.29                74.30               rock                
Crazy                                   K                             4.38                68.00               pop-R&B             
It's_Been_Awhile                        Staind                        4.41                50.90               rock-metal          
No_More                                 3LW                           4.39                72.10               pop-R&B             
Differences                             Ginuwine                      4.43                56.20               hiphop-pop-R&B      
Gone                                    *NSYNC                        4.87                69.90               pop                 
Hanging_By_A_Moment                     Lifehouse                     3.61                53.70               pop-rock-metal      
Dilemma                                 Nelly                         4.82                72.70               hiphop-pop-R&B      
Without_Me                              Eminem                        4.84                90.80               hiphop              
Complicated                             Avril_Lavigne                 4.08                58.50               pop                 
A_Thousand_Miles                        Vanessa_Carlton               3.96                56.00               Folk/Acoustic-pop   
Wherever_You_Will_Go                    The_Calling                   3.48                55.80               pop                 
Underneath_Your_Clothes                 Shakira                       3.73                61.60               pop-latin           
Underneath_It_All                       No_Doubt                      5.05                72.90               rock-pop            
Addictive                               Truth_Hurts                   3.77                70.10               pop-R&B             
I_Know_What_You_Want                    Busta_Rhymes                  5.41                64.80               hiphop-pop          
'Till_I_Collapse                        Eminem                        4.96                54.80               hiphop              
I_Need_a_Girl                           Diddy                         4.76                71.30               hiphop-pop          
When_You_Look_At_Me                     Christina_Milian              3.71                95.50               hiphop-pop-R&B      
Die_Another_Day                         Madonna                       4.61                79.20               pop                 
I'm_Gonna_Be_Alright                    Jennifer_Lopez                2.87                71.80               hiphop-pop-R&B      
If_I_Could_Go!                          Angie_Martinez                4.07                58.30               pop                 
In_the_End                              Linkin_Park                   3.61                55.60               rock-metal          
The_Ketchup_Song                        Las_Ketchup                   3.57                60.70               pop                 
Rock_The_Boat                           Aaliyah                       4.58                64.10               hiphop-pop-R&B      
Kiss_Kiss                               Holly_Valance                 3.41                70.50               pop-Dance/Electronic
Round_Round                             Sugababes                     3.94                74.00               pop-R&B             
Tainted_Love                            Marilyn_Manson                3.34                62.20               rock-metal          
What_About_Us?                          Brandy                        4.22                68.60               hiphop-pop-R&B      
Hero                                    Chad_Kroeger                  3.34                42.70               metal               
Overprotected                           Britney_Spears                3.31                68.20               pop                 
The_Logical_Song                        Scooter                       3.90                52.70               pop-Dance/Electronic
4_My_People                             Missy_Elliott                 4.82                96.90               hiphop-pop-R&B      
More_Than_A_Woman                       Aaliyah                       3.84                64.60               hiphop-pop-R&B      
Full_Moon                               Brandy                        4.15                61.10               hiphop-pop-R&B      
One_Love                                Blue                          3.45                68.30               pop                 
Pass_The_Courvoisier_Part_II            Busta_Rhymes                  3.98                69.70               hiphop-pop          
A_New_Day_Has_Come                      Celine_Dion                   4.33                57.40               pop                 
Nessaja                                 Scooter                       3.47                48.60               pop-Dance/Electronic
Gangsta_Lovin'                          Eve                           3.99                72.30               hiphop-pop-R&B      
Move_Bitch                              Disturbing_Tha_Peace          4.54                77.70               hiphop-pop          
My_Neck_My_Back                         Khia                          3.71                85.90               pop-R&B             
Oops                                    Tweet                         3.96                66.00               hiphop-pop-R&B      
Spinning_Around                         Kylie_Minogue                 3.46                76.10               pop-Dance/Electronic
Hot_In_Herre                            Nelly                         3.80                95.60               hiphop-pop-R&B      
Anyone_of_Us                            Gareth_Gates                  3.80                70.00               pop                 
Dirrty                                  Christina_Aguilera            4.98                64.00               pop                 
Uh_Huh                                  B2K                           3.72                85.50               hiphop-pop-R&B      
Freak_Like_Me                           Sugababes                     3.26                51.70               pop-R&B             
Days_Go_By                              Dirty_Vegas                   7.20                78.60               Dance/Electronic    
What's_Luv?                             Fat_Joe                       4.45                83.50               hiphop-pop          
Just_A_Little                           Liberty_X                     3.96                78.60               pop                 
Hella_Good                              No_Doubt                      4.04                77.10               rock-pop            
Luv_U_Better                            LL_Cool_J                     4.78                66.80               hiphop-pop-R&B      
Can't_Stop                              Red_Hot_Chili_Peppers         4.48                61.80               rock                
Halfcrazy                               Musiq_Soulchild               4.24                41.20               pop-R&B             
Gimme_the_Light                         Sean_Paul                     3.80                77.80               hiphop-pop          
I_Love_You                              Faith_Evans                   4.45                48.90               hiphop-pop-R&B      
Down_4_U                                Charli_Baltimore              5.30                64.00               pop                 
Love_at_First_Sight                     Kylie_Minogue                 3.97                60.30               pop-Dance/Electronic
Nothin'                                 N.O.R.E.                      4.41                79.10               hiphop-pop          
Unchained_Melody                        Gareth_Gates                  3.89                36.80               pop                 
I_Need_a_Girl                           Diddy                         4.48                66.00               hiphop-pop          
Nu_Flow                                 Big_Brovaz                    3.36                78.30               pop                 
Hey_Baby                                No_Doubt                      3.45                70.50               rock-pop            
Baby                                    Ashanti                       4.43                56.70               hiphop-pop-R&B      
Murder_On_The_Dancefloor                Sophie_Ellis                  3.83                73.40               pop-Dance/Electronic
Like_I_Love_You                         Justin_Timberlake             4.73                85.30               pop                 
Rainy_Dayz                              Mary_J._Blige                 4.61                41.20               pop-R&B             
Caught_in_the_Middle                    A1                            3.44                51.90               pop                 
Cleanin'_Out_My_Closet                  Eminem                        4.96                90.80               hiphop              
Happy                                   Ashanti                       4.37                72.70               hiphop-pop-R&B      
Born_to_Try                             Delta_Goodrem                 4.19                54.20               pop                 
Get_the_Party_Started                   P!nk                          3.21                80.20               pop                 
A_Woman's_Worth                         Alicia_Keys                   5.06                65.20               pop-R&B             
Gotta_Get_Thru_This                     Daniel_Bedingfield            2.69                83.80               pop                 
Clocks                                  Coldplay                      5.13                57.70               rock-pop            
Work_It                                 Missy_Elliott                 4.39                88.40               hiphop-pop-R&B      
If_Tomorrow_Never_Comes                 Ronan_Keating                 3.57                55.50               pop-rock            
Still_Fly                               Big_Tymers                    5.59                67.50               hiphop-pop          
My_Sacrifice                            Creed                         4.91                32.00               pop-rock-metal      
Always_On_Time                          Ja_Rule                       4.09                83.90               hiphop-pop-R&B      
Foolish                                 Ashanti                       3.79                66.50               hiphop-pop-R&B      
Sk8er_Boi                               Avril_Lavigne                 3.40                48.70               pop                 
Heaven                                  DJ_Sammy                      3.89                57.10               pop                 
I'm_Not_a_Girl_Not_Yet_a_Woman          Britney_Spears                3.85                53.40               pop                 
Oh_Boy                                  Camron                        3.41                75.40               hiphop-pop          
By_the_Way                              Red_Hot_Chili_Peppers         3.62                45.10               rock                
A_Little_Less_Conversation              Elvis_Presley                 3.53                59.70               rock-easy_listening 
The_Tide_Is_High                        Atomic_Kitten                 3.43                78.30               pop                 
Girlfriend                              *NSYNC                        4.23                74.50               pop                 
Somethin'_Stupid                        Robbie_Williams               2.84                65.40               pop-rock            
Hands_Clean                             Alanis_Morissette             4.49                51.30               pop-Folk/Acoustic   
U_Don't_Have_to_Call                    Usher                         4.49                79.30               hiphop-pop-R&B      
One_Last_Breath                         Creed                         4.03                38.00               pop-rock-metal      
Here_Is_Gone                            The_Goo_Goo_Dolls             3.97                33.80               pop-rock            
She_Hates_Me                            Puddle_Of_Mudd                3.61                58.00               rock-metal          
Rollout                                 Ludacris                      4.94                92.10               hiphop-pop          
Crossroads                              Blazin'_Squad                 3.14                66.10               pop                 
Wasting_My_Time                         Default                       4.48                44.30               rock-pop-metal      
All_You_Wanted                          Michelle_Branch               3.63                49.90               pop-Folk/Acoustic   
If_You're_Not_The_One                   Daniel_Bedingfield            4.28                68.80               pop                 
Escape                                  Enrique_Iglesias              3.48                77.60               pop-latin           
Blurry                                  Puddle_Of_Mudd                5.07                43.20               rock-metal          
In_My_Place                             Coldplay                      3.78                42.40               rock-pop            
The_Whole_World                         Outkast                       4.92                81.40               hiphop-pop          
Don't_Let_Me_Get_Me                     P!nk                          3.51                62.40               pop                 
In_Da_Club                              50_Cent                       3.22                89.90               hiphop-pop          
Get_Busy                                Sean_Paul                     3.53                73.50               hiphop-pop          
Lose_Yourself                           Eminem                        5.37                68.60               hiphop              
Crazy_In_Love                           Beyonce                       3.94                64.60               pop-R&B             
Big_Yellow_Taxi                         Counting_Crows                3.76                66.90               rock-pop            
Where_Is_The_Love?                      Black_Eyed_Peas               4.54                83.50               hiphop-pop          
Jenny_from_the_Block                    Jennifer_Lopez                3.13                84.50               hiphop-pop-R&B      
Shut_Up                                 Black_Eyed_Peas               4.94                81.00               hiphop-pop          
All_The_Things_She_Said                 t.A.T.u.                      3.57                52.70               pop                 
Satisfaction                            Benny_Benassi                 4.76                79.30               pop-Dance/Electronic
I_Know_What_You_Want                    Busta_Rhymes                  5.41                64.80               hiphop-pop          
Mundian_to_Bach_Ke                      Panjabi_MC                    4.08                77.80               World/Traditional-hiphop
Scandalous                              Mis                           3.98                73.40               pop-Dance/Electronic
03'_Bonnie_&_Clyde                      JAY                           3.43                75.90               hiphop              
P.I.M.P.                                50_Cent                       4.16                71.20               hiphop-pop          
Superstar                               Jamelia                       3.59                80.10               pop                 
Faint                                   Linkin_Park                   2.71                55.40               rock-metal          
X_Gon'_Give_It_To_Ya                    DMX                           3.63                76.10               hiphop-pop          
Bring_Me_To_Life                        Evanescence                   3.93                33.10               metal               
Hole_In_The_Head                        Sugababes                     3.64                78.50               pop-R&B             
Rise_&_Fall                             Craig_David                   4.79                40.50               hiphop-pop-R&B      
I_Hate_Everything_About_You             Three_Days_Grace              3.86                49.80               rock-metal          
Get_Low                                 Lil_Jon_&_The_East_Side_Boyz  5.41                78.00               hiphop-pop          
Bump_Bump_Bump                          B2K                           4.71                83.50               hiphop-pop-R&B      
Suga_Suga                               Baby_Bash                     3.98                66.20               hiphop-pop-R&B-latin
Miss_You                                Aaliyah                       4.09                60.20               hiphop-pop-R&B      
Me_Against_the_Music                    Britney_Spears                3.73                80.40               pop                 
Sorry_Seems_To_Be_The_Hardest_Word      Blue                          3.50                56.40               pop                 
Lost_Without_You                        Delta_Goodrem                 4.14                58.10               pop                 
Rock_Your_Body                          Justin_Timberlake             4.45                89.20               pop                 
Seven_Nation_Army                       The_White_Stripes             3.87                74.10               rock-blues          
Damn!                                   Youngbloodz                   4.98                77.20               hiphop-pop          
Baby_Boy                                Beyonce                       4.08                65.50               pop-R&B             
Magic_Stick                             Lil'_Kim                      6.00                84.90               hiphop-pop-R&B      
Can't_Hold_Us_Down                      Christina_Aguilera            4.25                85.90               pop                 
Someday                                 Nickelback                    3.46                45.50               rock-metal          
U_Make_Me_Wanna                         Blue                          3.71                60.00               pop                 
Rain_On_Me                              Ashanti                       4.97                60.60               hiphop-pop-R&B      
Headstrong                              Trapt                         4.76                49.20               rock-metal          
Sunrise                                 Simply_Red                    3.32                79.10               rock-R&B-Folk/Acoustic-pop
